"lesson_id","cefr_level","title","category","learning_objective","summary","explanation","rule","example_dutch_1","example_english_1","example_dutch_2","example_english_2","common_mistake","notes","sort_order","estimated_minutes","is_sample"
"a2-main-clause-order","A2","Placing objects and adverbs","Word Order","Place known objects and frequency adverbs inside a longer main clause.","Extend verb-second order using a sentence bracket and the information the listener already knows.","A main clause can have a bracket: the finite verb is near the beginning, while a participle or infinitive is near the end. Objects and adverbs usually fit between them: ik heb het boek gisteren gelezen. A known definite object often comes before new time or manner information.

Frequency adverbs such as vaak, meestal and soms commonly follow the finite verb and subject: ik lees vaak in de trein. An unstressed object pronoun usually comes early: ik zie hem vaak. A new indefinite object can come later: ik koop morgen een boek.

These are useful neutral patterns, not a single rigid order for every sentence. Stress and context can move full noun phrases. Keep the finite verb second when a time phrase opens the clause: gisteren heb ik het boek gelezen.","Keep finite and non-finite verb positions stable; place unstressed or already-known objects early and fit adverbs inside the bracket.","Ik heb het boek gisteren gelezen.","I read the book yesterday.","Morgen wil ik een nieuwe fiets kopen.","Tomorrow I want to buy a new bicycle.","Do not force every object after place information. 'Ik zie hem vaak op school' puts the unstressed object hem early.","This extends A1 time-manner-place with object placement; Dutch permits alternatives when emphasis changes.","33","5","false"
"a2-object-pronoun-order","A2","Putting object pronouns in place","Pronouns","Place unstressed objects and distinguish practical ze from formal hen and hun.","Use a natural object order in sentences about giving, seeing and helping.","Unstressed object pronouns normally occur early in the middle of a clause: ik heb hem gisteren gezien. With a pronoun for the thing and a full noun phrase for the recipient, put the pronoun first: ik geef het aan mijn buurman. With two short pronouns, a useful pattern is ik geef het hem. Full noun objects can use a different order: ik geef mijn buurman het boek.

Ze is a common unstressed plural object referring to people. In careful formal usage, hen is a direct object or follows a preposition; hun is an indirect object without a preposition: ik zie hen, ik geef hun een boek, ik geef een boek aan hen.

Use these distinctions for recognition and careful writing. In everyday speech, ze often avoids the formal choice when no emphasis is needed. Never use hun as the subject in standard written Dutch.","Place unstressed pronouns early; formal hen is a direct or prepositional object, while hun is an indirect object without a preposition.","Ik geef het hem morgen.","I will give it to him tomorrow.","Ik heb ze gisteren gezien.","I saw them yesterday.","In careful writing use 'aan hen', not 'aan hun'; the preposition requires hen in this distinction.","Possessive hun in hun huis is a different use and is standard. Pronoun combinations with strong contrast can have a different order.","34","6","false"
"a2-reflexive-verbs","A2","Talking about actions involving yourself","Pronouns","Choose the reflexive pronoun that matches the subject of an everyday verb.","Talk about washing, feeling and getting ready with me, je and zich.","A reflexive pronoun refers back to the subject: ik was me means I wash myself. The basic forms are ik-me, jij-je, hij/zij-zich, wij-ons, jullie-je and zij plural-zich. With formal u, both u and zich occur: u wast u or u wast zich.

Some verbs commonly need a reflexive pronoun in their usual meaning, such as zich vergissen (be mistaken) and zich voelen (feel). Others allow a contrast: ik was me versus ik was de auto. Learn the reflexive pattern as part of the verb's vocabulary entry.

The reflexive pronoun occupies an object position, usually early: ik voel me vandaag beter. Do not add zelf automatically. Mezelf and zichzelf add emphasis or are required in particular constructions; the short forms are sufficient in the everyday examples here.","Match the reflexive pronoun to the subject; use zich for third-person singular and plural, and normally je with jullie.","Ik voel me vandaag goed.","I feel well today.","Jullie vergissen je.","You are mistaken.","Say 'Jullie vergissen je', not 'Jullie vergissen zich'. Zich belongs to third-person subjects or formal u.","English yourselves is plural in the second example; ordinary Dutch still uses je after jullie.","35","5","false"
"a2-possessive-extensions","A2","Expressing possession without repeating a noun","Possession","Express ownership with van plus a pronoun and with a person's name.","Answer whose questions without repeating a possessive noun phrase.","To say that something belongs to someone, use van with an object pronoun: deze fiets is van mij; die tas is van haar. This differs from a possessive before a noun: mijn fiets. Ask van wie to find the owner: van wie is deze jas?

A name can take a possessive ending: Piets fiets. If the name ends in a long vowel written with one letter, an apostrophe helps preserve pronunciation: Anna's boek. Names ending in a pronounced s-sound usually take only an apostrophe: Max' fiets. A final unstressed e normally needs no apostrophe: Annes tas.

The construction de fiets van Piet is also available and is often the simplest choice when a name's spelling is unfamiliar.","Use van + object pronoun after zijn for ownership; name possessives follow Dutch spelling rules, as in Piets fiets and Anna's boek.","Deze jas is van mij.","This coat is mine.","Dat is Anna's fiets.","That is Anna's bicycle.","Say 'Deze jas is van mij', not 'Deze jas is mijn'. Mijn normally needs a following noun in this use.","De mijne and de jouwe are additional forms to recognise later; van mij and van jou are a clear productive starting point.","36","4","false"
"a2-demonstrative-extensions","A2","Using demonstratives on their own","Pronouns","Use standalone die/dat and distinguish them from identification with dit zijn.","Avoid repeating a noun while keeping agreement and meaning clear.","A demonstrative can stand alone when the noun is understood. Refer to a singular de-word or a plural with die or deze, and to a singular het-word with dat or dit: welke jas? Die is mooi. Welk boek? Dat is interessant. The form follows the understood noun.

Identification is a separate pattern. Dit and dat can introduce people or things with zijn even when the following noun is plural: dit zijn mijn buren; dat zijn onze fietsen. The verb agrees with the plural identification.

Compare die zijn nieuw, referring back to particular bicycles, with dat zijn fietsen, identifying what you see. Do not apply the before-a-noun rule mechanically to every standalone dit or dat.","Standalone reference normally follows the noun's de/het and number; identifying dit/dat zijn can introduce a plural noun phrase.","Welke jas bedoel je? Die is van mij.","Which coat do you mean? That one is mine.","Dit zijn mijn buren.","These are my neighbours.","In an identification, say 'Dit zijn mijn buren', not 'Dit is mijn buren'. Use zijn with the plural noun phrase.","The two sentences in the first example provide the noun needed to interpret standalone die.","37","4","false"
"a2-adjective-extensions","A2","Handling adjective spelling and exceptions","Adjectives","Apply adjective spelling changes and recognise common exceptions to the basic -e pattern.","Handle grote, dikke and houten, and recognise fixed phrases without overgeneralising them.","When adding -e, preserve the original vowel sound: groot-grote, wit-witte, lief-lieve and boos-boze. A long doubled vowel often becomes single in an open syllable, while a short vowel may need a doubled consonant. Changes from f to v and s to z occur in many adjectives but are not universal.

Material adjectives ending in -en generally do not gain another -e: een houten tafel, het gouden horloge. Not every material adjective ends in -en: plastic is also normally unchanged.

Some conventional profession or role expressions omit -e, such as een goed journalist. They describe professional ability and should be learned as established combinations. Een goede journalist is also an ordinary grammatical phrase. Do not turn the special pattern into a rule for every description of a person.","Preserve pronunciation when adding -e; material adjectives ending in -en stay unchanged, and fixed role expressions must be learned individually.","We hebben een houten tafel.","We have a wooden table.","De grote kamer heeft witte muren.","The large room has white walls.","Write 'een houten tafel', not 'een houtene tafel'. The material adjective already ends in -en.","The A1 de/het pattern remains the default. Exceptions do not justify dropping -e freely.","38","5","false"
"a2-quantities","A2","Expressing amounts and groups","Pronouns","Choose quantity words with singular, plural and uncountable nouns.","Express amounts and groups using veel, weinig, genoeg, alle, sommige and elk.","Veel and weinig work with plural count nouns and uncountable nouns: veel boeken, weinig tijd. Genoeg means enough: genoeg stoelen, genoeg water. Do not add een merely because English uses a little or a lot. Een beetje water is a useful separate phrase for a small amount.

Alle and sommige commonly precede plural nouns: alle kinderen, sommige winkels. The plural noun requires a plural verb. Elk and ieder refer to each member separately and take a singular noun and verb. Use elke/iedere with a de-word and elk/ieder with a singular het-word: elke dag, elk huis.

Compare alle huizen zijn groot with elk huis is groot. Both concern a group, but their grammatical number differs.","Use plural agreement with alle/sommige plus plural nouns; use singular agreement with elk/ieder and choose -e according to de or het.","Elke leerling heeft genoeg tijd.","Every student has enough time.","Sommige winkels zijn op zondag open.","Some shops are open on Sundays.","Say 'Elk huis is anders', not 'Elk huis zijn anders'. Elk selects a singular noun and verb.","This lesson focuses on quantity before nouns. Er replacing a counted noun is introduced separately.","39","4","false"
"a2-niet-scope","A2","Placing niet in longer sentences","Negation","Use niet to deny a whole action or contrast one part of a longer sentence.","Place negation around definite objects, final verbs and contrasted information.","In a neutral denial of an action, niet commonly follows a definite object or object pronoun and comes before the final infinitive or participle: ik heb hem niet gezien; ik wil dat boek niet kopen. Descriptive adjectives and closely connected location phrases can also follow niet: zij is niet moe; hij woont niet in Leiden.

For an explicit contrast, place niet directly before the contrasted element: niet vandaag, maar morgen. Moving it can change what the speaker is correcting. Ik heb niet dit boek gekocht, maar dat boek contrasts the books rather than denying any purchase.

Keep geen for a normal indefinite noun denial: ik heb geen boek gekocht. Word order depends on the intended meaning; a sentence should not be rejected merely because niet is not in one fixed slot.","Neutral niet commonly follows definite objects and precedes final verbs; contrastive niet stands before the element being corrected.","Ik heb hem gisteren niet gezien.","I did not see him yesterday.","Ik kom niet vandaag, maar morgen.","I am coming tomorrow, not today.","Do not put niet after the final infinitive in a neutral sentence: use 'Ik wil dat boek niet kopen'.","Contrast can make orders possible that would sound unusual without context. The examples supply that context explicitly.","40","5","false"
"a2-negative-words","A2","Using nooit, niemand, niets and nergens","Negation","Negate people, things, places and frequency with a single suitable negative word.","Use niemand, niets, nergens and nooit without adding an unnecessary niet.","Niemand means nobody, niets means nothing, nergens means nowhere and nooit means never. These words already make the relevant part of the sentence negative. In ordinary standard Dutch, do not add niet to express the same single negation.

Niemand and niets can be subjects: niemand komt; niets helpt. They take a singular verb. They can also be objects: ik zie niemand; ik hoor niets. Nooit gives negative frequency, while nergens gives a negative place: ik werk nooit op zondag; ik kan mijn sleutels nergens vinden.

Choose the word by the meaning you need. Geen koffie negates an indefinite noun phrase; niets means no thing at all in the relevant context. Spoken dialectal double negatives are outside this standard beginner pattern.","Niemand, niets, nergens and nooit already express negation; do not add niet for the same ordinary negative meaning.","Niemand is thuis.","Nobody is at home.","Ik werk nooit op zondag.","I never work on Sundays.","Say 'Ik hoor niets', not 'Ik hoor niet niets', when you mean that you hear nothing. The second wording creates a different meaning.","Deliberate double negation can mean something different, but it is not needed for these basic statements.","41","4","false"
"a2-not-yet-no-longer","A2","Distinguishing nog niet and niet meer","Negation","Distinguish something that has not happened yet from something that has stopped being true.","Choose nog niet, niet meer, nog geen or geen ... meer.","Nog niet means not yet: the situation is not true now, but may become true. Niet meer means no longer or not anymore: it was true before and has stopped. Compare ik werk nog niet with ik werk niet meer.

With an indefinite noun phrase, geen follows the same meaning contrast: ik heb nog geen fiets means I do not have a bicycle yet; ik heb geen fiets meer means I no longer have a bicycle. Put meer after the noun phrase in this common pattern.

In a perfect sentence, nog niet normally precedes the participle: ik heb nog niet gegeten. With an adjective, it precedes the adjective: de winkel is nog niet open. The tense and context tell you what change is expected or completed.","Use nog niet/nog geen for not yet and niet meer/geen ... meer for a situation that is no longer true.","Ik heb nog niet gegeten.","I have not eaten yet.","Zij woont hier niet meer.","She does not live here anymore.","Do not translate not anymore as 'nog niet': 'Ik rook niet meer' means that I have stopped smoking.","Nog without negation can mean still; meer without negation can mean more. Learn the complete combinations.","42","4","false"
