dutch,english,cefr_level,word_type,topic,example_dutch,example_english,notes,tags,article,plural,diminutive,regularity,separable,auxiliary,past_participle,inflected,comparative,superlative,is_sample
buurman,male neighbour,A2,noun,Family and relationships,Onze buurman leent ons een ladder.,Our neighbour lends us a ladder.,,,de,buurmannen,,,,,,,,,false
buurvrouw,female neighbour,A2,noun,Family and relationships,Ik drink thee bij de buurvrouw.,I am having tea at my neighbour's.,,,de,buurvrouwen,,,,,,,,,false
buurt,neighbourhood,A2,noun,Family and relationships,Er wonen veel gezinnen in deze buurt.,Many families live in this neighbourhood.,,,de,buurten,,,,,,,,,false
gezin,family household,A2,noun,Family and relationships,Ons gezin bestaat uit vier personen.,Our family consists of four people.,,,het,gezinnen,,,,,,,,,false
partner,partner,A2,noun,Family and relationships,Mijn partner werkt in de zorg.,My partner works in healthcare.,,,de,partners,,,,,,,,,false
echtgenoot,husband,A2,noun,Family and relationships,Haar echtgenoot haalt de kinderen op.,Her husband picks up the children.,,,de,echtgenoten,,,,,,,,,false
echtgenote,wife,A2,noun,Family and relationships,Zijn echtgenote werkt in een museum.,His wife works in a museum.,,,de,echtgenotes,,,,,,,,,false
oom,uncle,A2,noun,Family and relationships,Mijn oom woont aan de kust.,My uncle lives on the coast.,,,de,ooms,,,,,,,,,false
tante,aunt,A2,noun,Family and relationships,Mijn tante komt morgen eten.,My aunt is coming for dinner tomorrow.,,,de,tantes,,,,,,,,,false
neef,nephew / male cousin,A2,noun,Family and relationships,Mijn neef is de zoon van mijn zus.,My nephew is my sister's son.,Nephew or male cousin; the example uses nephew.,,de,neven,,,,,,,,,false
nicht,niece / female cousin,A2,noun,Family and relationships,Mijn nicht is de dochter van mijn broer.,My niece is my brother's daughter.,Niece or female cousin; the example uses niece.,,de,nichten,,,,,,,,,false
kleinkind,grandchild,A2,noun,Family and relationships,Oma past op haar kleinkind.,Grandma looks after her grandchild.,,,het,kleinkinderen,,,,,,,,,false
tweeling,twins (a pair),A2,noun,Family and relationships,De tweeling zit in dezelfde klas.,The twins are in the same class.,,,de,tweelingen,,,,,,,,,false
tiener,teenager,A2,noun,Family and relationships,Als tiener speelde ik veel voetbal.,As a teenager I played a lot of football.,,,de,tieners,,,,,,,,,false
volwassene,adult,A2,noun,Family and relationships,Kinderen reizen met een volwassene.,Children travel with an adult.,,,de,volwassenen,,,,,,,,,false
persoon,person,A2,noun,Family and relationships,Er is plaats voor één persoon.,There is room for one person.,,,de,personen,,,,,,,,,false
relatie,relationship,A2,noun,Family and relationships,Zij hebben een goede relatie.,They have a good relationship.,,,de,relaties,,,,,,,,,false
vriendschap,friendship,A2,noun,Family and relationships,Onze vriendschap bestaat al tien jaar.,Our friendship has lasted ten years.,,,de,vriendschappen,,,,,,,,,false
bruiloft,wedding celebration,A2,noun,Family and relationships,We gaan zaterdag naar een bruiloft.,We are going to a wedding on Saturday.,,,de,bruiloften,,,,,,,,,false
