dutch,english,cefr_level,word_type,topic,example_dutch,example_english,notes,tags,article,plural,diminutive,regularity,separable,auxiliary,past_participle,inflected,comparative,superlative,is_sample
aaien,"to stroke, to caress, to pet",B1,verb,Actions and processes,We zijn niet hier gekomen om je je hond te zien aaien.,We didn't come here to watch you pet your dog.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/aaien#Dutch. Example: vvv123 (Dutch, https://tatoeba.org/en/sentences/show/3560326) and mailohilohi (English, https://tatoeba.org/en/sentences/show/5309737); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,geaaid,,,,false
aanhouden,"to keep up, keep on, maintain",B1,verb,Actions and processes,Hoge noten kan hij niet aanhouden.,He can't maintain high notes.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/aanhouden#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/9167735) and megamanenm (English, https://tatoeba.org/en/sentences/show/9167730); CC BY 2.0 FR.",B1;production,,,,irregular,true,hebben,aangehouden,,,,false
aanmoedigen,to encourage,B1,verb,Actions and processes,Ouders moeten hun kinderen aanmoedigen om te lezen.,Parents should encourage their children to read.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/aanmoedigen#Dutch. Example: Slam4 (Dutch, https://tatoeba.org/en/sentences/show/12144494) and Hybrid (English, https://tatoeba.org/en/sentences/show/3934293); CC BY 2.0 FR.",B1;production,,,,regular,true,hebben,aangemoedigd,,,,false
aantonen,to demonstrate; to show; to prove,B1,verb,Actions and processes,Het onderzoek toont aan dat voldoende slaap belangrijk is.,The study shows that enough sleep is important.,,B1;production,,,,regular,true,hebben,aangetoond,,,,false
aanvaarden,to accept,B1,verb,Actions and processes,Ik had geen andere keuze dan het voorstel te aanvaarden.,I had no other choice but to accept the proposal.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/aanvaarden#Dutch. Example: nilfisq (Dutch, https://tatoeba.org/en/sentences/show/2235059) and Nylez (English, https://tatoeba.org/en/sentences/show/9525217); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,aanvaard,,,,false
achterhalen,"to find out, discover",B1,verb,Actions and processes,Het zal me wat tijd kosten om te achterhalen waar hij woont.,It'll take me some time to find out where he lives.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/achterhalen#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/10793580) and megamanenm (English, https://tatoeba.org/en/sentences/show/10793579); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,achterhaald,,,,false
adopteren,to adopt,B1,verb,Actions and processes,Om een zin te adopteren klik je op het witte mens-icoon.,"To adopt a sentence, click on the white person icon.","Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/adopteren#Dutch. Example: SunnyMoon (Dutch, https://tatoeba.org/en/sentences/show/11223337) and CK (English, https://tatoeba.org/en/sentences/show/4631942); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,geadopteerd,,,,false
adviseren,to recommend,B1,verb,Actions and processes,Ik zou het niet adviseren.,I would not recommend it.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/adviseren#Dutch. Example: kiryopi (Dutch, https://tatoeba.org/en/sentences/show/12892723) and kiryopi (English, https://tatoeba.org/en/sentences/show/12892724); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,geadviseerd,,,,false
afleveren,"to deliver, to drop off",B1,verb,Actions and processes,Ik zal het zo snel mogelijk afleveren.,I'll deliver it as soon as I can.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/afleveren#Dutch. Example: Raizin (Dutch, https://tatoeba.org/en/sentences/show/4967835) and CK (English, https://tatoeba.org/en/sentences/show/953797); CC BY 2.0 FR.",B1;production,,,,regular,true,hebben,afgeleverd,,,,false
afspelen,to play,B1,verb,Actions and processes,Kan deze telefoon video's afspelen?,Can this phone play videos?,"Often reflexive: use the appropriate reflexive pronoun for the intended meaning. Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/afspelen#Dutch. Example: rose_d (Dutch, https://tatoeba.org/en/sentences/show/10654722) and mailohilohi (English, https://tatoeba.org/en/sentences/show/6029509); CC BY 2.0 FR.",B1;production,,,,regular,true,hebben,afgespeeld,,,,false
afstuderen,to graduate: successfully complete one's studies,B1,verb,Actions and processes,Denk je dat Tom dit jaar zal afstuderen?,Do you think Tom will graduate this year?,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/afstuderen#Dutch. Example: PaulP (Dutch, https://tatoeba.org/en/sentences/show/12189922) and CK (English, https://tatoeba.org/en/sentences/show/2951786); CC BY 2.0 FR.",B1;production,,,,regular,true,hebben,afgestudeerd,,,,false
afzetten,to take off,B1,verb,Actions and processes,Je moet je hoed afzetten in de kamer.,You must take off your hat in the room.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/afzetten#Dutch. Example: PaulP (Dutch, https://tatoeba.org/en/sentences/show/3306833) and Swift (English, https://tatoeba.org/en/sentences/show/9583); CC BY 2.0 FR.",B1;production,,,,regular,true,hebben,afgezet,,,,false
bedriegen,to cheat on one's significant other,B1,verb,Actions and processes,Wat voor iemand zou zijn echtgenoot bedriegen?,What kind of person would cheat on their spouse?,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bedriegen#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/10827852) and megamanenm (English, https://tatoeba.org/en/sentences/show/10827851); CC BY 2.0 FR.",B1;production,,,,irregular,false,hebben,bedrogen,,,,false
beheersen,"to control, to master",B1,verb,Actions and processes,U moet leren om u te beheersen.,You should learn how to control yourself.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/beheersen#Dutch. Example: Mandalay (Dutch, https://tatoeba.org/en/sentences/show/6122233) and JimmyUK (English, https://tatoeba.org/en/sentences/show/5136409); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,beheerst,,,,false
bekennen,"to see, to make out, to discern",B1,verb,Actions and processes,De cijfers van het examen zijn bekend. Hannah is geslaagd!,The exam marks are out. Hannah has passed!,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bekennen#Dutch. Example: kiryopi (Dutch, https://tatoeba.org/en/sentences/show/12854033) and kiryopi (English, https://tatoeba.org/en/sentences/show/12854034); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,bekend,,,,false
beledigen,to offend,B1,verb,Actions and processes,"Een recht om te beledigen bestaat wel, onderstreepte de koningin.","A right to offend does indeed exist, the queen emphasized.","Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/beledigen#Dutch. Example from the same Wiktionary entry (CC BY-SA 4.0).",B1;production,,,,regular,false,hebben,beledigd,,,,false
bemoeien,"to interfere, to meddle",B1,verb,Actions and processes,Ik zal me er niet mee bemoeien.,I won't interfere.,"Often reflexive: use the appropriate reflexive pronoun for the intended meaning. Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bemoeien#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/12347789) and CK (English, https://tatoeba.org/en/sentences/show/3823528); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,bemoeid,,,,false
benaderen,to approach,B1,verb,Actions and processes,Mijn baas zei me dat ik moeilijk te benaderen ben.,My boss told me I'm hard to approach.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/benaderen#Dutch. Example: anders (Dutch, https://tatoeba.org/en/sentences/show/2800356) and pip (English, https://tatoeba.org/en/sentences/show/73714); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,benaderd,,,,false
bereiden,to prepare,B1,verb,Actions and processes,Je hoeft geen formele toespraak voor te bereiden.,You haven't got to prepare a formal speech.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bereiden#Dutch. Example: javyoze (Dutch, https://tatoeba.org/en/sentences/show/473330) and sundown (English, https://tatoeba.org/en/sentences/show/9479841); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,bereid,,,,false
beschouwen,"to consider, to regard",B1,verb,Actions and processes,We moeten elk onderdeel van het probleem beschouwen.,We must consider every aspect of the problem.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/beschouwen#Dutch. Example: Slam4 (Dutch, https://tatoeba.org/en/sentences/show/11882198) and CM (English, https://tatoeba.org/en/sentences/show/248158); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,beschouwd,,,,false
bestaan,"to exist, to be",B1,verb,Actions and processes,"Wanneer het denken ophoudt, houdt de mens op te bestaan.","When thought ceases, man ceases to exist.","Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bestaan#Dutch. Example: carlosalberto (Dutch, https://tatoeba.org/en/sentences/show/11564360) and carlosalberto (English, https://tatoeba.org/en/sentences/show/11564348); CC BY 2.0 FR.",B1;production,,,,irregular,false,hebben,bestaan,,,,false
betekenen,"to mean, to signify",B1,verb,Actions and processes,"Als een zin alles kan betekenen, is hij zinloos.","If a sentence may mean anything you want it to mean, it is meaningless.","Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/betekenen#Dutch. Example: fekundulo (Dutch, https://tatoeba.org/en/sentences/show/3136150) and fekundulo (English, https://tatoeba.org/en/sentences/show/3136139); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,betekend,,,,false
beveiligen,"to protect, secure",B1,verb,Actions and processes,Om zijn kluisje te beveiligen gebruikt hij een hangslot.,"To secure his locker, he uses a padlock.","Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/beveiligen#Dutch. Example: Bart_Demeyere (Dutch, https://tatoeba.org/en/sentences/show/4870641) and Bart_Demeyere (English, https://tatoeba.org/en/sentences/show/4870600); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,beveiligd,,,,false
bevinden,"to be located, to find oneself",B1,verb,Actions and processes,Onder de mantel bevindt zich een vloeibare buitenkern (waarin het aardmagnetisch veld wordt opgewekt) en een vaste binnenkern.,Under the mantle are located a fluid outer core (in which the Earth's magnetic field is generated) and a fixed inner core.,"Often reflexive: use the appropriate reflexive pronoun for the intended meaning. Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bevinden#Dutch. Example from the same Wiktionary entry (CC BY-SA 4.0).",B1;production,,,,irregular,false,hebben,bevonden,,,,false
bevrijden,"to liberate, to free",B1,verb,Actions and processes,Je zou deze dieren uit hun kooien moeten bevrijden.,You should free those animals from the cage.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bevrijden#Dutch. Example: Micsmithel (Dutch, https://tatoeba.org/en/sentences/show/6572939) and CM (English, https://tatoeba.org/en/sentences/show/64819); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,bevrijd,,,,false
bezorgen,to deliver,B1,verb,Actions and processes,De postbode zal het pakketje morgen bezorgen bij uw huis.,The mailman will deliver the package to your house tomorrow.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bezorgen#Dutch. Example from the same Wiktionary entry (CC BY-SA 4.0).",B1;production,,,,regular,false,hebben,bezorgd,,,,false
bijhouden,to keep up with,B1,verb,Actions and processes,Ik kan de rest van de klas nauwelijks bijhouden.,I can barely keep up with the rest of the class.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bijhouden#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/10731728) and CK (English, https://tatoeba.org/en/sentences/show/2300613); CC BY 2.0 FR.",B1;production,,,,irregular,true,hebben,bijgehouden,,,,false
bijwonen,"to attend, to be present at",B1,verb,Actions and processes,Ik denk dat een van ons die vergadering moet bijwonen.,I think one of us ought to attend that meeting.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bijwonen#Dutch. Example: purple_ice (Dutch, https://tatoeba.org/en/sentences/show/11900285) and CK (English, https://tatoeba.org/en/sentences/show/3733904); CC BY 2.0 FR.",B1;production,,,,regular,true,hebben,bijgewoond,,,,false
bowlen,"to bowl, to play bowling",B1,verb,Actions and processes,Met wie ben je gaan bowlen?,Who did you go bowling with?,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bowlen#Dutch. Example: doemaar14 (Dutch, https://tatoeba.org/en/sentences/show/10735069) and CK (English, https://tatoeba.org/en/sentences/show/8390455); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,gebowld,,,,false
concluderen,to conclude,B1,verb,Actions and processes,Hieruit kan geconcludeerd worden dat het feminisme nog steeds nodig is.,From this you can conclude that feminism is still necessary.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/concluderen#Dutch. Example: Citrine (Dutch, https://tatoeba.org/en/sentences/show/1473195) and eastasiastudent (English, https://tatoeba.org/en/sentences/show/803472); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,geconcludeerd,,,,false
dienen,to serve,B1,verb,Actions and processes,Een politicus zou het volk moeten dienen.,A politician should serve the people.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/dienen#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/11522411) and CM (English, https://tatoeba.org/en/sentences/show/271386); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,gediend,,,,false
doneren,to donate,B1,verb,Actions and processes,Je kan geen stel hersenen doneren en het overleven.,You can't donate a brain and live.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/doneren#Dutch. Example: Raizin (Dutch, https://tatoeba.org/en/sentences/show/10108601) and espamatics (English, https://tatoeba.org/en/sentences/show/10108593); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,gedoneerd,,,,false
drukken,to press,B1,verb,Actions and processes,Je moet op deze knop drukken. Dan gaat de televisie aan.,You have to press this button. Then the television turns on.,"Often reflexive: use the appropriate reflexive pronoun for the intended meaning. Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/drukken#Dutch. Example: kiryopi (Dutch, https://tatoeba.org/en/sentences/show/12853906) and kiryopi (English, https://tatoeba.org/en/sentences/show/12853908); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,gedrukt,,,,false
erkennen,"to acknowledge, to recognize",B1,verb,Actions and processes,Zelfs een kind is in staat om het verschil te erkennen.,Even a child is able to recognize the difference.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/erkennen#Dutch. Example: Mandalay (Dutch, https://tatoeba.org/en/sentences/show/6045635) and SunnyMoon (English, https://tatoeba.org/en/sentences/show/11194760); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,erkend,,,,false
falen,to fail,B1,verb,Actions and processes,Ze wijdde zich aan haar studie zodat ze niet zou falen.,She threw herself into her studies so she wouldn't fail.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/falen#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/10827812) and megamanenm (English, https://tatoeba.org/en/sentences/show/10827811); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,gefaald,,,,false
