"lesson_id","cefr_level","title","category","learning_objective","summary","explanation","rule","example_dutch_1","example_english_1","example_dutch_2","example_english_2","common_mistake","notes","sort_order","estimated_minutes","is_sample"
"b1-long-sentence-bracket","B1","Managing a long sentence bracket","Word Order","Keep the finite verb and final verb group clear while adding objects and circumstances.","In a longer main clause the finite verb stays in second position and the remaining verbs normally come near the end.","In a longer main clause the finite verb stays in second position and the remaining verbs normally come near the end. Put related information together inside this bracket. Known objects often come before new information, but Dutch does not have one rigid time-manner-place formula for every sentence. Decide what the listener already knows and what the sentence adds. Heavy prepositional phrases can sometimes follow the final verb; do not move an ordinary direct object there as a default.","Identify the finite verb first. Keep an unstressed object close to the beginning of the middle field. Give new or contrasted information more prominence.","Ik heb het verslag gisteren met mijn collega besproken.","I discussed the report with my colleague yesterday.","We willen de nieuwe medewerkers volgende week persoonlijk ontmoeten.","We want to meet the new employees in person next week.","Do not put the infinitive directly after the modal and then append every object as in English.","Builds on a2-main-clause-order by handling several competing elements and information status.","73","12","false"
"b1-fronting-with-embedded-clauses","B1","Fronting complete phrases and clauses","Word Order","Recognize a whole phrase or subordinate clause as the first constituent.","Position one is a grammatical unit, not necessarily one word.","Position one is a grammatical unit, not necessarily one word. A time phrase, object or whole subordinate clause can fill it. The finite verb of the main clause then comes before the main-clause subject. A conjunction inside that opening unit does not create an extra main-clause position. First find the boundary between clauses, then check the order within each. Keep the subject of each clause explicit unless a separate coordination pattern allows omission.","Count constituents rather than words. After an initial subordinate clause use main verb plus subject. Apply subordinate order only inside the subordinate clause.","Na het gesprek met de directeur hebben we onze plannen aangepast.","After the conversation with the director, we adjusted our plans.","Hoewel het overleg langer duurde dan verwacht, waren we op tijd klaar.","Although the meeting lasted longer than expected, we finished on time.","Avoid: Hoewel het overleg lang duurde, we waren op tijd klaar.","Extends a2-fronted-subclauses with longer opening phrases and internal comparison clauses.","74","12","false"
"b1-subordinate-verb-groups","B1","Ordering participles and auxiliaries in subordinate clauses","Word Order","Use common two-verb orders at the end of a subordinate clause.","In a subordinate clause the verbal material forms an end group.","In a subordinate clause the verbal material forms an end group. With a participle and a finite perfect auxiliary, both heeft gewerkt and gewerkt heeft are standard possibilities. Usage depends on rhythm, region and the surrounding structure. Choose a consistent natural pattern rather than declaring one order universally wrong. This flexibility does not mean that any two verbs can be reversed: with a modal and an infinitive, the finite modal normally precedes the infinitive in contemporary Netherlands Dutch.","Keep both verbs in the end group. Recognize auxiliary-participle and participle-auxiliary orders. Prefer modal plus infinitive: kan komen.","Ze zegt dat ze het contract heeft ondertekend.","She says that she has signed the contract.","Ik weet dat hij morgen kan komen.","I know that he can come tomorrow.","Do not generalize gewerkt heeft to forms such as komen kan as your ordinary spoken pattern.","Adds recognition of standard verb-group variation to a2-perfect-subclauses; more complex groups follow at B2.","75","12","false"
"b1-concession-hoewel-ook-al","B1","Contrasting expectations with hoewel and ook al","Conjunctions","Choose the appropriate word order for two common concessive patterns.","Both hoewel and ook al introduce a fact that does not lead to the expected result.","Both hoewel and ook al introduce a fact that does not lead to the expected result. Hoewel introduces a subordinate clause with the finite verb in the final group. Ook al is followed by inversion: ook al regent het. The main clause still follows its own word-order rules. When the concessive clause comes first, main-clause inversion is usual. Use these patterns to acknowledge a difficulty while explaining that an action continues.","Hoewel uses subordinate order. Ook al uses verb-subject order in its own clause. Separate the concession from the main assertion.","Hoewel de cursus duur is, schrijf ik me in.","Although the course is expensive, I am enrolling.","Ook al regent het, we gaan toch wandelen.","Even though it is raining, we are still going for a walk.","Avoid treating ook al as if it automatically required the verb at the end.","Extends A2 reason and time clauses with concession; toch is optional reinforcement.","76","12","false"
"b1-cause-doordat-aangezien","B1","Distinguishing causes from supporting reasons","Conjunctions","Use doordat, omdat and aangezien with an appropriate meaning and register.","Doordat typically presents a cause that brings about a result, especially an event or circumstance.","Doordat typically presents a cause that brings about a result, especially an event or circumstance. Omdat can express either a reason for a decision or a cause. Aangezien introduces a reason treated as known or relevant background and is more common in careful explanation. All three introduce subordinate clauses. The distinction is about meaning and discourse, not a rule that omdat may only refer to human decisions. Choose a connector that makes the relationship clear.","Use subordinate order after all three connectors. Prefer doordat for a causal mechanism. Use aangezien for a supporting reason that can be taken as given.","Doordat de brug dicht was, moesten we omrijden.","Because the bridge was closed, we had to take a detour.","Aangezien iedereen aanwezig is, kunnen we beginnen.","Since everyone is present, we can begin.","Do not claim that omdat is incorrect whenever the cause is not intentional.","Extends a2-omdat by distinguishing causal relationships and explanatory register.","77","12","false"
"b1-toen-als-wanneer","B1","Choosing time clauses for one event or a repeated situation","Conjunctions","Distinguish a single past occasion from repeated, present and future occasions.","Toen normally refers to a particular occasion or period in the past.","Toen normally refers to a particular occasion or period in the past. Als is common for repeated occasions and for future conditions or times. Wanneer can introduce a time question or a time clause; in many future and repeated contexts it overlaps with als. A past-tense verb alone does not determine the connector: a repeated childhood habit can use als, while one specific childhood event uses toen. Decide whether you mean once or whenever.","Use toen for a specific past setting. Use als for whenever and many future time clauses. Keep subordinate word order.","Toen ik in Utrecht woonde, werkte ik in een boekhandel.","When I lived in Utrecht, I worked in a bookshop.","Als we vroeger bij oma logeerden, bakte ze pannenkoeken.","Whenever we stayed with Grandma as children, she made pancakes.","Avoid using toen for every repeated past situation simply because the verb is past tense.","Extends a2-als-wanneer with the single-event versus repeated-event distinction.","78","12","false"
"b1-time-boundaries","B1","Expressing starting points and limits with zodra, zolang and totdat","Conjunctions","Explain when an action begins and how long a situation continues.","Zodra means as soon as and marks the point at which the next action can begin.","Zodra means as soon as and marks the point at which the next action can begin. Zolang means as long as and connects the duration of two situations; it can also imply a condition. Totdat marks an endpoint. These conjunctions introduce subordinate clauses. Dutch usually uses a present tense for future time in such clauses, so English will is not a reason to insert zullen. Distinguish totdat from voordat: an action continuing until an event is not the same as an action happening before it.","Zodra marks an immediate transition. Zolang describes a continuing condition or period. Totdat marks the end of a continuing situation.","Zodra ik de uitslag weet, bel ik je.","As soon as I know the result, I will call you.","We blijven hier totdat de bus komt.","We will stay here until the bus comes.","Do not translate every future time clause with zullen.","Adds temporal boundaries beyond a2-terwijl-voordat and a2-nadat.","79","12","false"
"b1-pluperfect-sequencing","B1","Looking further back with the pluperfect","Past Tense","Use had or was plus a participle for an event before another past reference point.","The pluperfect places an event before an already established past moment.","The pluperfect places an event before an already established past moment. Form it with the past tense of hebben or zijn and the past participle. The auxiliary choice follows the same lexical and meaning-based principles as the perfect. Nadat often makes this sequence explicit, but the pluperfect can also supply background without a conjunction. Do not use it just because an event happened a long time ago: the important relationship is earlier than another past reference point.","Use had or hadden with hebben verbs and was or waren with zijn verbs. Establish a past reference point. Keep the participle in the final group.","Toen we aankwamen, was de vergadering al begonnen.","When we arrived, the meeting had already started.","Nadat zij het formulier had ingevuld, stuurde ze het op.","After she had completed the form, she sent it off.","Avoid choosing the pluperfect only on the basis of how many years ago something happened.","Extends a2-nadat from present/future sequencing to a past narrative.","80","12","false"
"b1-narrative-tense-perspective","B1","Combining events and background in a narrative","Past Tense","Maintain a clear narrative timeline while changing tense for a reason.","The perfect often introduces an experience or reports a completed event relevant to the present.","The perfect often introduces an experience or reports a completed event relevant to the present. The simple past can then establish a scene and carry a connected story. The pluperfect provides earlier background. These are useful tendencies rather than absolute divisions between actions and descriptions: a simple past can describe a completed action, and a perfect can describe a state over a period. Keep the perspective understandable and switch tense because the time relationship or narrative viewpoint changes.","Introduce the experience, establish the scene and mark earlier events when needed. Use time expressions to support the sequence. Avoid switching tenses randomly.","Ik heb gisteren een oude vriend ontmoet. Hij stond op het perron te wachten.","I met an old friend yesterday. He was waiting on the platform.","We herkenden het hotel meteen, want we hadden er eerder gelogeerd.","We recognized the hotel immediately because we had stayed there before.","Do not teach that every completed action must use the perfect and every description must use the simple past.","Extends a2-past-choices by integrating three tenses across connected sentences.","81","12","false"
"b1-future-in-the-past","B1","Describing plans and expectations from a past viewpoint","Future","Report something that was still in the future at a past moment.","Zou or zouden plus an infinitive can express a future viewed from the past.","Zou or zouden plus an infinitive can express a future viewed from the past. It does not automatically mean that the event failed to happen. Gaan in the past can describe a past plan or something about to happen. Context distinguishes a reported future from a hypothetical statement. Add a later sentence if the outcome matters. Keep time expressions aligned with the reported viewpoint, using de volgende dag rather than morgen when tomorrow no longer refers to the correct day.","Use zou for a reported future or expectation. Use ging for a plan or impending event when appropriate. Do not infer cancellation from zou alone.","Ze vertelde dat ze de volgende dag zou vertrekken.","She said that she would leave the next day.","We gingen net eten toen de telefoon ging.","We were just about to eat when the phone rang.","Do not assume zou vertrekken always means that the person ultimately stayed.","Builds on a2-future-plans and a2-zou with a past reporting viewpoint.","82","12","false"
