@noun|People and family
mens|person|Ieder mens heeft een naam.|Every person has a name.|de|mensen
man|man|Die man woont hier.|That man lives here.|de|mannen
vrouw|woman|De vrouw drinkt thee.|The woman is drinking tea.|de|vrouwen
kind|child|Het kind speelt buiten.|The child is playing outside.|het|kinderen
baby|baby|De baby slaapt.|The baby is sleeping.|de|baby's
jongen|boy|De jongen fietst naar school.|The boy cycles to school.|de|jongens
meisje|girl|Het meisje leest een boek.|The girl is reading a book.|het|meisjes
vader|father|Mijn vader kookt vandaag.|My father is cooking today.|de|vaders
moeder|mother|Mijn moeder werkt thuis.|My mother works at home.|de|moeders
ouder|parent|Een ouder wacht bij de school.|A parent is waiting by the school.|de|ouders
zoon|son|Onze zoon is vijf jaar.|Our son is five years old.|de|zonen
dochter|daughter|Haar dochter leert zwemmen.|Her daughter is learning to swim.|de|dochters
broer|brother|Mijn broer woont dichtbij.|My brother lives nearby.|de|broers
zus|sister|Ik bel mijn zus.|I am calling my sister.|de|zussen
opa|grandpa|Opa zit in de tuin.|Grandpa is sitting in the garden.|de|opa's
oma|grandma|Oma komt op bezoek.|Grandma is coming to visit.|de|oma's
familie|family|Mijn familie is groot.|My family is large.|de|families
vriend|friend|Een vriend helpt me.|A friend is helping me.|de|vrienden
vriendin|female friend / girlfriend|Mijn vriendin heet Sara.|My friend is called Sara.|de|vriendinnen
naam|name|Wat is jouw naam?|What is your name?|de|namen
@noun|At home
huis|house|Ons huis heeft drie kamers.|Our house has three rooms.|het|huizen
kamer|room|Mijn kamer is klein.|My room is small.|de|kamers
deur|door|Doe de deur dicht.|Close the door.|de|deuren
raam|window|Het raam staat open.|The window is open.|het|ramen
vloer|floor|De tas staat op de vloer.|The bag is on the floor.|de|vloeren
muur|wall|De muur is wit.|The wall is white.|de|muren
tafel|table|We eten aan de tafel.|We eat at the table.|de|tafels
stoel|chair|Deze stoel zit lekker.|This chair is comfortable.|de|stoelen
bank|sofa|Ik zit op de bank.|I am sitting on the sofa.|de|banken
bed|bed|Het kind ligt in bed.|The child is in bed.|het|bedden
kast|cupboard|De borden staan in de kast.|The plates are in the cupboard.|de|kasten
lamp|lamp|De lamp staat naast het bed.|The lamp is beside the bed.|de|lampen
keuken|kitchen|Vader staat in de keuken.|Dad is in the kitchen.|de|keukens
badkamer|bathroom|De badkamer is boven.|The bathroom is upstairs.|de|badkamers
toilet|toilet|Waar is het toilet?|Where is the toilet?|het|toiletten
tuin|garden|We zitten in de tuin.|We are sitting in the garden.|de|tuinen
sleutel|key|Ik zoek mijn sleutel.|I am looking for my key.|de|sleutels
trap|stairs|De trap is smal.|The stairs are narrow.|de|trappen
adres|address|Schrijf hier je adres.|Write your address here.|het|adressen
telefoon|telephone|Mijn telefoon ligt hier.|My phone is here.|de|telefoons
@noun|Meals and kitchen
bord|plate|Mijn bord is leeg.|My plate is empty.|het|borden
kop|cup|Wil je een kop thee?|Would you like a cup of tea?|de|koppen
glas|drinking glass|Mag ik een glas water?|May I have a glass of water?|het|glazen
mes|knife|Het mes ligt naast het bord.|The knife is beside the plate.|het|messen
vork|fork|Ik eet met een vork.|I eat with a fork.|de|vorken
